inn_naqhq0pasdoo,数据分析（Python）实习生（常州）,150,200,compassedu指南者教育,常州,4,"['\n\t一、公司介绍：\n', '\n\t', ' \n', '\n\t指南者教育成立于2012年，是一家提供留学申请服务、英语培训、数据分析培训的在线教育公司。我们相信，互联网对教育行业的改造将会是彻底的。秉承着“互联网+教育”的运营思路，指南者教育致力于打造让更多用户满意的学习及服务产品。', '\n指南者教育的文化是“务实、分享、进取、正直”。务实：凡事要以结果为导向；分享：在帮助别人变得更好的同时，自己变得更好；进取：保持好奇心，探索自己未来的多种可能，正直：追随内心，恪守每个岗位的底线。', '\n在这里你可以得到每年10天以上的年假，符合国家规定的五险一金以及带薪病假；', '\n在这里没有办公室政治，鲜有上下级概念，团队氛围融洽；', '\n在这里公司为每一位员工提供完善的培训体系，广阔的发展平台和晋升空间。\n', '\n\t', ' \n', '\n\t', '\n', '\n\t二、岗位职责：\n', '\n\t1', ' \n', '\n\t', ' \n', '\n\t', '\n', '\n\t工作地点：常州市天宁区关河东路66号九州环宇801、802室\n', '\n\t', '\n']",硕士
inn_xknyzf7wugcm,数据分析实习生,200,250,Max+&小黑盒,北京,3,"[' ', '【有以下装备者欢迎投递】', ' ', ' ', '你需要参与', ' ', '跟随产品优化、项目进度，负责埋点设计等数据采集方案设计，并对应产出改版效果数据分析报告，协助', '发现问题；', '负责关键性指标的制定和监控，结合数据和业务定位关键问题，产出日常报表；', '日常数据提取和分析，满足其他业务方数据分析需求；', '对数据工具易用性进行持续优化。', ' ', ' ', '我们对你的要求', ' ', '、', '院校计算机、统计学相关专业', '届', '届在校生，每周至少', '天实习时间，', '届要求可实习', '个月及以上，', '届提供转正机会；', '有数据分析相关实习经验；', '熟练掌握', '，熟悉', '、', '、', '、', '中任一种数据工具', '语言；', '熟练使用', '、', '、', '或', '系常用数据整理工具和图表制作工具；', '良好的思维能力。业务理解及快速学习能力，责任心强，对数据的准确性、及时性负责；', '热爱电竞游戏者优先', ' ', ' ', ' ', '职位诱惑：', '北大博士', '腾讯大牛', '电竞大数据', '转正机会', ' ']",本科
inn_wkntnglil8lz,数据分析实习生,100,100,Aspen,上海,3,"['\n\t', ' \n', '\n\t', '协助上级主管对全国的销售团队的销售数据进行收集', '汇总', '整理', ' \n', '\n\t', '维护各类销售有关的主数据库的更新，负责收集销量申诉和架构调整的信息并整理', ' \n', '\n\t', '．与系统供应商一同构建并维护各类销售数据支持系统，处理销售团队提出的针对系统的反馈并联系供应商及时解决问题。 ', ' \n', '\n\t', '支持部门数据分析工作，协助处理各种分析及报表', ' \n', '\n\t', ' \n', '\n\t', '：', ' \n', '\n\t1． 熟悉使用', '，', '，熟练掌握', '数据透视表和', '函数等常规操作（最基本的要求，否则日常工作难以进行）', ' \n', '\n\t2． 良好的语言表达及沟通能力', ' \n', '\n\t3． 有责任心', ' \n', '\n\t4． 专科或以上学历，在校生，每周至少', '天实习时间', '要求至少实习', '个月，能更长时间优先', ' \n', '\n\t5． 理工科专业背景', '数学系，计算机系优先。', ' \n']",大专
inn_ajo8eehecr75,数据分析助理,120,200,科贝乐,重庆,5,"['\n\t岗位职责：\n', '\n\t1、负责数据的收集及分析；\n', '\n\t2、协助调研报告的撰写；\n', '\n\t3、项目需要协助的其他事宜。\n', '\n\t任职要求：\n', '\n\t1、2020届人力资源、会计或商科类相关专业研究生优先；\n', '\n\t2、有一定数据分析能力及文字编辑能力。\n']",硕士
inn_sia3tbivsoct,数据分析员,50,100,博彦科技,西安,5,"['\n\t岗位职责：\n', '\n\t1、以数据分析为基础，为项目', '客户输出定量定性分析；', '\n', '\n\t2、通过数据挖掘和处理，分析舆情规律，研判舆论特点、趋势等；', '\n', '\n\t3、承担所负责行业或领域的突发事件专报的撰写任务，按时按质按量完成，对独立完成或主导完成稿件具有审稿责任；', '\n', '\n\t4、关注新媒体及舆情行业动态，为部门及项目服务提出优化改进建议；', '\n', '\n\t5、与客户保持良好的沟通与互动，明确客户需求，积极反馈客户意见，维护良好的客户关系；', '\n', '\n\t6、其他公司及领导分配的任务。', '\n', '\n\t\xa0任职要求：\n', '\n\t1、全日制本科及以上学历，新闻学、中文学、社会学、心理学、传播学、经济管理等相关社科专业优先；', '\n', '\n\t2、', '年以上舆情行业研究相关经验，熟悉互联网传播环境及趋势，懂得自媒体平台的基础运营内容；', '\n', '\n\t3、具备较强文字功底，对新闻传播、品牌公关特点与规律有一定了解，对社会热点敏感、对互联网舆情传播有一定了解；', '\n', '\n\t4、能熟练使用', '等日常办公软件，较强', '功底者优先；', '\n', '\n\t5、执行力强，遇到问题时能积极主动地寻求解决方案；', '\n', '\n\t6、责任心强，细心谨慎，良好的沟通能力和团队精神。', '\n']",不限
inn_fgub4grt3xku,数据分析实习生（韶关驻点）,150,200,精点数据,韶关,5,"['\n\t', '\n', '\n\t1、派驻至韶关地市移动分公司现场代维提数项目；\n', '\n\t2、主要从事数据提取工作，工作内容包括与客户沟通数据需求，根据需求方所提供的的工单，明确具体口径，从数据集市提取相对应的数据，解决广东移动各分公司各部门的数据需求问题，为广东移动各分公司及各服务商提供数据支持；\n', '\n\t3、工作中主要使用SQL代码脚本语言和基础的Oracle命令语句，在对应的系统上提取相关的数据，同时具备较高的逻辑思维和较好的记忆力。\n', '\n\t', '\n', '\n\t', '\n', '\n\t1、研究生/硕士生，计算机、统计学等相关专业毕业；\n', '\n\t2、具备大型数据库理论知识，并能熟练掌握使用Oracle、SQL、Mysql等数据库语言，其中SQL语言是必备的，能熟练编写SQL语言，工作要求细心认真；\n', '\n\t3、有移动通信业务和熟悉SQL语言并有过提数经验的经验者优先考虑；\n', '\n\t4、对电信行业有一定了解，有电信行业大型项目经验的优先考虑；\n', '\n\t5、志愿在韶关长期发展，本地户口优先考虑；\n', '\n\t6、具备较好的团队协作能力及沟通能力；\n', '\n\t7、实习1-4个月（看个人时间安排）。\n', '\n\t', '\n', '\n\t基础福利：\n', '\n\t1.周末双休（朝九晚六，7.5H/天）；\n', '\n\t2.', '\n', '\n\t', '\n', '\n\t上班地点：广东省韶关市西堤北路9号全球通大厦\n', '\n\t上班时间：周一至周五8:30-17:30（12:00-14:30吃饭休息）\n']",硕士
inn_itdgd6fh1ipl,金融数据分析实习生,150,250,感易智能,北京,5,"['\n\t岗位职责：\n', '\n\t1、研究、搜集、整理、回溯影响上市公司的事件、财务、行业、宏观等因素；\n', '\n\t4、其他数据分析、产品维护等相关工作\n', '\n\t', '\n', '\n\t任职要求：\n', '\n\t1、金融、统计相关背景专业，硕士及以上学历，有良好的数据分析功底；', '\n2、至少能熟练运用一种数据分析或建模工具，如SQL、Python、Excel等；', '\n3、具备独立思考的能力，自学能力强，逻辑严谨，踏实认真，对数据敏感；', '\n4、有较强的责任心，良好的沟通能力；\n']",硕士
inn_g47rk3vsxrz0,数据分析师,200,250,熙数科技,上海,3,"['\n\t岗位职责：\n', '\n\t\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 1.对各类交易、支付、信贷、销售等行业的数据进行分析；', '\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 2.根据数据的要求，分析数据的特征或者找出数据的规律；', '\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 3.对数据进行统计，汇总生成报告；', '\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 4.通过分析的过程，找出适合分析数据的工具手段，包含或者不仅限于excel、sql、经验规则、数学模型等。\n', '\n\t', '\n', '\n\t任职要求：\n', '\n\t\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 1.数理统计类专业研究生；', '\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 2.有很强的数据敏感性，对数据关联性反应迅速；', '\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 3.会用各种数据分析工具，包括excel、 sql、python、sas、R语言至少3种以上；', '\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 4.有开发经验者优先，有海量大数据分析经验者优先。\n', '\n\t', '\n', '\n\t你将获得：\n', '\n\t\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 1.转正机会；\n', '\n\t\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 2.股权激励；\n', '\n\t\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 3.进入初创公司元老级团队的机会；\n', '\n\t\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 4.大数据行业快速成长和发展的契机。\n']",硕士
inn_lg16amd10aiq,数据分析实习生,150,200,糖豆,北京,5,[],本科
inn_1aksvwepkjnv,数据运营分析实习生,100,100,字节跳动,天津,4,"['\n\t', '\n', '\n\t', '\n', '\n\t', '\n', '\n\t', '\n', '\n\t', '\n']",本科
inn_6rhg83cxtl5t,数据分析实习生,100,100,字节跳动,天津,4,"['\n\t', '\n', '\n\t', '\n', '\n\t', '\n', '\n\t', '\n', '\n\t', '\n', '\n\t', '\n', '\n\t', '\n']",本科
inn_guxdmy3yehkz,工程交付数据分析实习生,100,200,京东,北京,5,"['\n\t', '\n']",本科
inn_wfjbvpgasiro,数据运营分析实习生,150,200,惠借科技,杭州,5,"['岗位职责：', '1.\xa0 协助整理和统计各项日常业务运营数据指标；', '2. 协助完成运营和产品同学的数据需求；', '3. 协助BI团队对用户使用行为数据的分析。', '任职要求：', '1. 计算机、统计、数学等相关专业,2020年应届生毕业,有实际数据项目经验更佳；', '2. 能熟练使用SQL操作数据,熟悉Hive,Spark,SPSS更佳；', '3. 能熟练使用Excel；', '4. 具有较好的业务理解能力和逻辑推理能力以及较强的沟通能力。']",本科
inn_o5bdohqgonxd,数据分析实习生,120,150,慕华信息,北京,3,[],本科
inn_1to8s4dox2rb,数据分析助理,120,150,卓新服饰,上海,5,[],大专
inn_xld5letosrdv,数据分析实习生,0,0,映客直播,北京,5,"['\n\t工作职责：\n', '\n\t1、维护并优化用户留存日常数据监控体系、负责相应日报、周报等数据报表\n', '\n\t2、通过数据了解直播业务和用户，分析直播用户增长和留存，建立用户增长和留存模型\n', '\n\t', '\n', '\n\t任职要求：\n', '\n\t1、统招硕士学历（985，211院校可放宽到本科）及以上，计算机、数学、统计学、物理、生物相关专业优先\n', '\n\t2、熟练使用hive SQL和Excel，会使用一定程度的tableau可视化\n', '\n\t3、能够迅速理解业务，发觉业务细节和数据之间的联系\n', '\n\t4、逻辑思维强，擅长分析和解决问题，能够透过现象看本质，抓住核心痛点\n', '\n\t5、确保至少实习三个月以上，每周五天\n']",硕士
inn_cpjnqfrk6exu,数据分析专员,120,150,亿保健康,杭州,5,"['\n\t1.通过Excel办公软件工具（如公式编写，数据引用等）处理及分析业务数据，为各部门提供所需数据指标；\n', '\n\t2.负责数据整理、挖掘及分析工作，定期出具日、周、月、季、半年、年度项目分析报告；\n', '\n\t3.能够开创性深度挖掘数据，实现对数据的有效管理与自我管理；\n', '\n\t4.根据业务收集整理信息，完成对集团内他岗的支持工作。\n', '\n\t任职要求：\n', '\n\t', '\n\t\t1.全日制大学本科或以上，数学或统计学专业，对商业统计分析感兴趣者优先；\n\t', '\n\t\t2.具备良好理解表达能力，具备良好的职业道德；做事认真、仔细，责任感强，具有团队合作精神；为人有亲和力，沟通能力强；\n\t', '\n\t\t3.对完成任务的限期较敏感，日常接手的任务能够保证及时准确提交成果。\n\t', '\n\t\t福利待遇：\n\t', '\n\t\t1、月薪3500元，若实习期间表现优秀，毕业后可直接转正；\n\t', '\n\t\t2、提供新人带教、PTT、TTT、TechMark等一系列技能培训；\n\t', '\n\t\t3、周末双休，正常国家法定节假日，上班时间9:00-17:30。\n\t']",本科
inn_iue73jf7aezw,数据分析实习生,120,150,联想,北京,5,"['\n\t任职要求：\n', '\n\t1、熟悉SQLServer数据库，能熟练使用SQL；\n', '\n\t5、熟悉Hadoop、Spark等大数据组件者优先；\n', '\n\t6、需要本科及以上学历。\n', '\n\t7、实习时间最短3个月。\n']",本科
