title,link,salary,company,com_type,area,post_time,exp_level,edu_level,job_type
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2034,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 31, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2033,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 31, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2032,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 31, 2018",Experience: Entry Level,Bachelor,Full-time
Licensed primary school teacher ,http://jobleadchina.com/job/2018,28K/MTH - 50K/MTH,First Stop Professionals ,School,Qingdao,"Post time: May 30, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
ASDAN China Internship,http://jobleadchina.com/job/811,4K/MTH - 15K/MTH,ASDAN China,Teaching Center,Beijing,"Post time: May 30, 2018",Experience: Executive,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2006,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 30, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2005,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 30, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2004,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 30, 2018",Experience: Entry Level,Bachelor,Full-time
Full time ESL teacher in Education Group training ,http://jobleadchina.com/job/2000,14K/MTH - 15K/MTH,HeNan Liyun,School,Others,"Post time: May 29, 2018",Experience: Entry Level,Bachelor,Full-time
"Teaching in Public Schools in Hangzhou, China",http://jobleadchina.com/job/1655,8K/MTH - 26K/MTH,Zhejiang Wenhe,Teaching Center,Hangzhou,"Post time: May 29, 2018",Experience: Mid-Senior Level,Any education,Full-time
Curriculum Development Specialist,http://jobleadchina.com/job/1981,15K/MTH - 25K/MTH,100教育,Teaching Center,Beijing,"Post time: May 28, 2018",Experience: Mid-Senior Level,Any education,Full-time
ESL Teachers Wanted for Teenager English Training ,http://jobleadchina.com/job/1362,12K/MTH - 20K/MTH,China Interntrip,Consultancy/Legal/Admin,Nanjing,"Post time: May 28, 2018",Experience: Associate,Any education,Full-time
English Teacher for kids,http://jobleadchina.com/job/1983,12K/MTH - 13K/MTH,NINGBO ZHEWAI HUMAN RESOURCES SERVICE CO.,Others,Ningbo,"Post time: May 28, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
Part-time Native English Teacher needed in Shangha,http://jobleadchina.com/job/1977,4800K/MTH - 9600K/MTH,Linko,Teaching Center,Shanghai,"Post time: May 24, 2018",Experience: Mid-Senior Level,Bachelor,Part-time
Shandong International Kindergarten / Preschool En,http://jobleadchina.com/job/1970,14K/MTH - 20K/MTH,LCAIS,School,Beijing,"Post time: May 22, 2018",Experience: Entry Level,Bachelor,Full-time
Shandong International Kindergarten / Preschool En,http://jobleadchina.com/job/1971,14K/MTH - 20K/MTH,LCAIS,School,Beijing,"Post time: May 22, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/1969,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 22, 2018",Experience: Entry Level,Bachelor,Full-time
Part-time ESL teacher,http://jobleadchina.com/job/1919,3K/MTH - 4K/MTH,English Corner Live,Software,Others,"Post time: May 22, 2018",Experience: Entry Level,Any education,Part-time
"Kindergarten teaching job in Qingdao, high salary",http://jobleadchina.com/job/1968,18000K/MTH - 23000K/MTH,First Stop Professionals ,School,Qingdao,"Post time: May 21, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
ESL teachers for primary schools,http://jobleadchina.com/job/1966,12K/MTH - 14K/MTH,Zhengzhou YunGon,School,Others,"Post time: May 21, 2018",Experience: Entry Level,Bachelor,Full-time
English Teacher,http://jobleadchina.com/job/1963,12K/MTH - 18K/MTH,Suzhou RISE Immersion Subject English,Teaching Center,Others,"Post time: May 19, 2018",Experience: Entry Level,Bachelor,Full-time
Foreign English Teacher,http://jobleadchina.com/job/1962,15K/MTH - 20K/MTH,ABIE,Teaching Center,Chengdu,"Post time: May 18, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1961,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 18, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1958,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 17, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1957,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 17, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1956,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 17, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1955,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 17, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1954,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 17, 2018",Experience: Entry Level,Bachelor,Full-time
English online teacher,http://jobleadchina.com/job/1940,10K/MTH - 15K/MTH,smileabc,Teaching Center,Others,"Post time: May 17, 2018",Experience: Associate,Any education,Full-time
ESL Teacher,http://jobleadchina.com/job/1941,15000K/MTH - 20000K/MTH,Snow,Teaching Center,Shenzhen,"Post time: May 16, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
English teacher,http://jobleadchina.com/job/1934,18K/MTH - 20K/MTH,ABIE American baby international English,Teaching Center,Shanghai,"Post time: May 11, 2018",Experience: Entry Level,Bachelor,Full-time
Ski Instructor ,http://jobleadchina.com/job/1925,18K/MTH - 31K/MTH,D&K Management Consulting,Consultancy/Legal/Admin,Beijing,"Post time: May 10, 2018",Experience: Entry Level,Any education,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1913,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 09, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1912,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 09, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1911,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 09, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1909,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 08, 2018",Experience: Entry Level,Bachelor,Full-time
Kindergarten / Preschool English Teachers Wanted,http://jobleadchina.com/job/1907,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: May 08, 2018",Experience: Entry Level,Bachelor,Full-time
"Qualified Foreign Teachers Wanted in China, salary",http://jobleadchina.com/job/1903,6000K/MTH - 18000K/MTH,Yizhao Education,Teaching Center,Others,"Post time: May 07, 2018",Experience: Associate,Bachelor,Full-time
